Z,h,K,T,persistence,biomass,stability,diversity
10.0,2.0,3.5938136638046276,293.15,0.95,"[3.5938136638046307, 0.5441895708889946, 0.5441895708889946, 1.6534336079992902, 0.5946365553542413, 0.7928214708090896, 0.0, 0.02622993482163412, 0.02618620588487881, 0.28489010819422406, 0.0013505535833082663, 0.0013755626058034745, 0.7300572736770808, 1.5052844239624048, 0.17805846141719378, 0.0012073457821025395, 1.2395951020876095, 0.9916674192933786, 1.1764511484055147, 0.13510107454344764]",-0.004720516905604447,0.8009569015270975
10.0,2.0,3.5938136638046276,296.15,0.95,"[3.5938136638046307, 0.5880062872792226, 0.5880062872792226, 1.7569081027128468, 0.6576320296473203, 0.8557779103549831, 0.0, 0.02854423749449657, 0.02852192051637075, 0.31368409015643617, 0.0006085865120563065, 0.0006185264433319259, 0.7877077370520019, 1.6080458708658478, 0.19185938246868087, 0.0005114970444508736, 1.3347905770490378, 1.074601876565359, 1.2728984776718144, 0.14782735299835334]",-0.005665525684225249,0.8077445804386184
