Z,h,K,T,persistence,biomass,stability,diversity
1.0,1.0,10.0,298.15,0.35,"[9.999999970622067, 9.999991993339156, 9.999999864752201, 9.99999939861633, 0.0, 9.999999504346539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.998209977365997, 0.0, 0.0, 0.0, 9.99658585323612, 0.0, 0.0]",-0.00017540548787087226,0.9999999737201805
1.0,1.0,10.0,303.15,0.35,"[9.99999999870106, 9.99999975623852, 9.999999995931052, 9.999999973233717, 0.0, 9.999999977633854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.99992528621825, 0.0, 0.0, 0.0, 9.998416541062713, 0.0, 0.0]",-0.00011293987050864677,0.9999999813201179
1.0,1.2,0.1,283.15,0.64995,"[0.1000000083117138, 0.0992347474032169, 0.09937995757351838, 0.09951943079371567, 5.830184319449448e-5, 0.09952045169996869, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00246822739947678, 0.09970778470483217, 9.051380704628244e-7, 0.0, 0.001987078579849198, 0.09929490690121105, 8.408858669005495e-5, 5.834305720241155e-6]",-0.030418598475676975,0.7712457993234159
1.0,1.2,0.1,288.15,0.5498999999999999,"[0.10000000000006777, 0.09999998893074498, 0.0999999900372435, 0.09999999169592907, 7.387583533792331e-7, 0.09999999168214285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9137313961644182e-5, 0.09999999330459731, 0.0, 0.0, 2.1998479110427034e-5, 0.09999998923087268, 9.676856244355814e-7, 0.0]",-0.026153830956101576,0.811826869589222
1.0,1.2,0.1,293.15,0.35,"[0.10000000000000861, 0.09999999677417166, 0.09999999689180916, 0.09999999733063045, 0.0, 0.09999999732211794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09999999701584877, 0.0, 0.0, 0.0, 0.09999999627777437, 0.0, 0.0]",-1.1452958383077546e-8,1.0
1.0,1.2,0.1,298.15,0.35,"[0.09999999999999987, 0.09998988606598015, 0.09998992864527419, 0.0999913778499966, 0.0, 0.09999134602881524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09998052751589726, 0.0, 0.0, 0.0, 0.09997738965519859, 0.0, 0.0]",-6.837370579354999e-5,0.9999999982994981
1.0,1.2,0.1,303.15,0.35,"[0.1000000000013065, 0.09999364485616628, 0.09999366658144744, 0.09999638294181809, 0.0, 0.09999635471392354, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09999112181108846, 0.0, 0.0, 0.0, 0.09998254013052865, 0.0, 0.0]",-0.00020761220421784064,0.9999999925695812
1.0,1.2,0.16681005372000587,283.15,0.6109,"[0.16681003577216164, 0.16544091841621852, 0.16589486420571709, 0.1662472553898303, 3.063378377440883e-5, 0.1662552618102932, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0016413314550236125, 0.16626175419765815, 2.166150252657579e-7, 0.0, 0.0017030475767069882, 0.16503846254053497, 7.647107021619082e-5, 9.937005069734676e-6]",-0.030395929261530837,0.7845438120443015
1.0,1.2,0.16681005372000587,288.15,0.49874999999999997,"[0.16681005371985827, 0.16681003542329262, 0.16681003956920107, 0.1668100433099904, 0.0, 0.16681004331657864, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3687339799732947e-5, 0.1668100398598905, 0.0, 0.0, 2.355187862845485e-5, 0.16681002493432795, 9.524075490599234e-7, 0.0]",-0.026107528670654374,0.8462551981658506
1.0,1.2,0.16681005372000587,293.15,0.35,"[0.16681005371999663, 0.16681005075393535, 0.16681005108519065, 0.16681005155805376, 0.0, 0.16681005154521708, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16681004892804163, 0.0, 0.0, 0.0, 0.1668100467415601, 0.0, 0.0]",-2.3510356686753695e-8,1.0
1.0,1.2,0.16681005372000587,298.15,0.35,"[0.166810053720006, 0.16680759318907024, 0.1668076469429714, 0.16680800374151253, 0.0, 0.1668079872838736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16679917546102302, 0.0, 0.0, 0.0, 0.16679531407325082, 0.0, 0.0]",-9.519951975924196e-5,0.9999999972321638
1.0,1.2,0.16681005372000587,303.15,0.35,"[0.1668100537201325, 0.16680956426304333, 0.16680956792209817, 0.1668096723627795, 0.0, 0.1668096691784338, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16680194756958122, 0.0, 0.0, 0.0, 0.1667656197933703, 0.0, 0.0]",-0.00010005754123999928,0.999999987834381
1.0,1.2,0.2782559402207124,283.15,0.6354,"[0.27825582405628113, 0.27512307500830296, 0.27641249170364174, 0.27735322767061604, 2.0542478065047114e-5, 0.27738696707796584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012162554895232209, 0.27685988407047235, 6.241834961342536e-7, 0.0, 0.0015276110090266882, 0.2732617935056863, 7.706564889731789e-5, 1.4129274763009343e-5]",-0.030531468132727335,0.7695114719115471
1.0,1.2,0.2782559402207124,288.15,0.5,"[0.27825594021988626, 0.27825588761588776, 0.27825590279766343, 0.27825591491927315, 0.0, 0.2782559149245796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.571949475091414e-5, 0.27825587382828126, 0.0, 0.0, 3.129223560856095e-5, 0.2782557971600252, 1.3709034374658537e-6, 0.0]",-0.03529271151441224,0.8452102121297842
1.0,1.2,0.2782559402207124,293.15,0.35,"[0.2782559402207123, 0.2782559402154919, 0.2782559402163663, 0.2782559402172478, 0.0, 0.2782559402172086, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2782559402083887, 0.0, 0.0, 0.0, 0.2782559402003127, 0.0, 0.0]",-1.060011161897194e-11,1.0
1.0,1.2,0.2782559402207124,298.15,0.35,"[0.27825594021813593, 0.2782554301993535, 0.27825546736064827, 0.2782555426083648, 0.0, 0.2782555366734394, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2782538276082251, 0.0, 0.0, 0.0, 0.27825264889102636, 0.0, 0.0]",-4.276875951983916e-5,0.9999999993319049
1.0,1.2,0.2782559402207124,303.15,0.35,"[0.2782559402190334, 0.2782553341239591, 0.27825535490309833, 0.27825547253699096, 0.0, 0.2782554653003891, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2782484305478772, 0.0, 0.0, 0.0, 0.2781797612508354, 0.0, 0.0]",-0.00013316153480808814,0.9999999760061371
1.0,1.2,0.4641588833612779,283.15,0.6954,"[0.4641584481482302, 0.452733202284991, 0.4574887728604062, 0.4610614356349083, 1.7241507613970263e-5, 0.46119872480216706, 0.0, 2.2228591127838927e-7, 2.1640737714819766e-7, 2.2020027928923002e-7, 0.0, 0.0, 0.0012606743060578195, 0.45633306927682243, 1.1247696572807573e-6, 0.0, 0.0021625063255667465, 0.4398350008361416, 0.00010368910812893445, 2.673845175737364e-5]",-0.031377356661554924,0.7442549468795623
1.0,1.2,0.4641588833612779,288.15,0.49995,"[0.4641588833577757, 0.4641587629896461, 0.4641588080347135, 0.4641588413464701, 0.0, 0.46415884203225083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3305183216413213e-5, 0.4641587492852317, 0.0, 0.0, 2.376341919104691e-5, 0.4641585359383649, 1.230840748809884e-6, 0.0]",-0.026117044128770216,0.845195745841139
1.0,1.2,0.4641588833612779,293.15,0.35,"[0.4641588833612486, 0.4641588815106494, 0.46415888203030836, 0.4641588824442586, 0.0, 0.4641588824356219, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4641588797192599, 0.0, 0.0, 0.0, 0.4641588758854357, 0.0, 0.0]",-3.1873555288586005e-9,1.0
1.0,1.2,0.4641588833612779,298.15,0.35,"[0.4641588833296568, 0.46415432909817256, 0.46415525011254216, 0.46415612574782505, 0.0, 0.46415606098050755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46413881953717345, 0.0, 0.0, 0.0, 0.46409996291760514, 0.0, 0.0]",-9.558939618683778e-5,0.9999999942817447
1.0,1.2,0.4641588833612779,303.15,0.35,"[0.46415888335989935, 0.46415837354840284, 0.46415841069864705, 0.4641584999307611, 0.0, 0.46415848851513136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46415223810753486, 0.0, 0.0, 0.0, 0.4640288628803548, 0.0, 0.0]",-0.00012646150561780586,0.9999999758463607
1.0,1.2,0.7742636826811271,283.15,0.7054,"[0.7742622911798458, 0.7466434329258245, 0.7588772029108164, 0.7679673531507206, 1.4820002734309004e-5, 0.7684066059481376, 0.0, 4.0672523781938857e-7, 3.9614587505954126e-7, 4.0298275654262383e-7, 0.0, 0.0, 0.0011035464053734164, 0.7545314269614043, 5.597397297596178e-7, 0.0, 0.0018949061860496267, 0.711442329569543, 0.00010330379818813722, 2.92576651745435e-5]",-0.032009426872197336,0.7417975203067688
1.0,1.2,0.7742636826811271,288.15,0.49995,"[0.7742636826680368, 0.774263354545376, 0.774263492514757, 0.7742635910987927, 0.0, 0.7742635945661909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.210329585048992e-5, 0.7742633283646018, 0.0, 0.0, 2.0244575063081922e-5, 0.7742626822542418, 1.188224859694655e-6, 0.0]",-0.026167438525299163,0.8451703577197353
1.0,1.2,0.7742636826811271,293.15,0.35,"[0.7742636826810706, 0.7742636806967014, 0.7742636814093358, 0.7742636819308737, 0.0, 0.7742636819325267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7742636792563933, 0.0, 0.0, 0.0, 0.7742636746331725, 0.0, 0.0]",-6.046814795979737e-10,1.0
