Z,h,K,T,persistence,biomass,stability
1.0,1.0,0.4641588833612779,303.15,0.35,"[0.4641588833612784, 0.15472879217629232, 0.15472879217629232, 0.15472879217629232, 0.0, 0.15472879217629232, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09460559850019229, 0.0, 0.0, 0.0, 0.21182293775774094, 0.0, 0.0, 0.0]",-0.0022399041389314024
1.0,1.0,0.7742636826811271,283.15,0.25,"[0.7742636826811264, 0.0, 0.0, 0.0961668879445003, 0.0, 0.09616711388938919, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035454827466685324, 0.0, 0.0, 0.0, 0.059937702127490486, 0.0, 0.0, 0.0]",-0.0008373313245658234
1.0,1.0,0.7742636826811271,288.15,0.25,"[0.7742636826811264, 0.0, 0.0, 0.13429909976364343, 0.0, 0.13429909976364693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.046394464960469076, 0.0, 0.0, 0.0, 0.08778232542129072, 0.0, 0.0, 0.0]",-0.0013381329727741762
1.0,1.0,0.7742636826811271,293.15,0.25,"[0.7742636826811264, 0.0, 0.0, 0.17909488883300528, 0.0, 0.17909488883300528, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058693003601586365, 0.0, 0.0, 0.0, 0.11949572092987307, 0.0, 0.0, 0.0]",-0.0019917980182394693
1.0,1.0,0.7742636826811271,298.15,0.3,"[0.7742636826811264, 0.0, 0.1815444075908896, 0.1815444075908896, 0.0, 0.1815444075908896, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08023340548658825, 0.0, 0.0, 0.0, 0.1907023549879492, 0.0, 0.0, 0.0]",-0.0027408501605577784
1.0,1.0,0.7742636826811271,303.15,0.35,"[0.7742636826811264, 0.1951145613287044, 0.1951145613287044, 0.1951145613287044, 0.0, 0.1951145613287044, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10685765207944911, 0.0, 0.0, 0.0, 0.28002671655382055, 0.0, 0.0, 0.0]",-0.00252808284718483
1.0,1.0,1.2915496650148839,283.15,0.25,"[1.2915496650148834, 0.0, 0.0, 0.10668968191787916, 0.0, 0.10670172957782542, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03717452847127468, 0.0, 0.0, 0.0, 0.06956580462715302, 0.0, 0.0, 0.0]",-0.0010225152953446369
1.0,1.0,1.2915496650148839,288.15,0.25,"[1.2915496650148834, 0.0, 0.0, 0.154314777013025, 0.0, 0.15431477706105592, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0495701977067906, 0.0, 0.0, 0.0, 0.10514860011320083, 0.0, 0.0, 0.0]",-0.0016744335810915105
1.0,1.0,1.2915496650148839,293.15,0.25,"[1.2915496650148834, 0.0, 0.0, 0.21302773249380696, 0.0, 0.21302773249380696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06402769094812799, 0.0, 0.0, 0.0, 0.1491458670045935, 0.0, 0.0, 0.0]",-0.00241023511353987
1.0,1.0,1.2915496650148839,298.15,0.3,"[1.2915496650148834, 0.0, 0.2146778905035225, 0.2146778905035225, 0.0, 0.2146778905035225, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08791264394624741, 0.0, 0.0, 0.0, 0.23259468277574527, 0.0, 0.0, 0.0]",-0.0030460589388420956
1.0,1.0,1.2915496650148839,303.15,0.35,"[1.2915496650148834, 0.2316986629787801, 0.2316986629787801, 0.2316986629787801, 0.0, 0.2316986629787801, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1178313264718791, 0.0, 0.0, 0.0, 0.341544967897872, 0.0, 0.0, 0.0]",-0.002843069367540644
1.0,1.0,2.154434690031884,283.15,0.25,"[2.1544346900318803, 0.0, 0.0, 0.11451532976074032, 0.0, 0.11471673563448881, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03749754295917625, 0.0, 0.0, 0.0, 0.07622578966645628, 0.0, 0.0, 0.0]",-0.0010694515982482872
1.0,1.0,2.154434690031884,288.15,0.25,"[2.1544346900318803, 0.0, 0.0, 0.17060944726733604, 0.0, 0.1706095052760577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05165467679106667, 0.0, 0.0, 0.0, 0.11763230059496255, 0.0, 0.0, 0.0]",-0.00187274925253593
1.0,1.0,2.154434690031884,293.15,0.25,"[2.1544346900318803, 0.0, 0.0, 0.24131555527099788, 0.0, 0.24131555527099788, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06897955835536788, 0.0, 0.0, 0.0, 0.17273448674613362, 0.0, 0.0, 0.0]",-0.0028511835477744467
1.0,1.0,2.154434690031884,298.15,0.3,"[2.1544346900318803, 0.0, 0.2408979799282603, 0.24089797992826073, 0.0, 0.24089797992826073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09400160952158675, 0.0, 0.0, 0.0, 0.26629508399831087, 0.0, 0.0, 0.0]",-0.0033332398343613938
1.0,1.0,2.154434690031884,303.15,0.35,"[2.1544346900318803, 0.2611462399014593, 0.2611462399014593, 0.2611462399014593, 0.0, 0.2611462399014593, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12650013652470551, 0.0, 0.0, 0.0, 0.39159217743900887, 0.0, 0.0, 0.0]",-0.003191713897842573
