h,K,network,diversity,stability,biomass
1.0,0.1,1.0,0.9999999643530791,-0.0001694161408343131,0.49999750498847234
1.0,0.16681005372000587,1.0,0.9999999280179189,-0.00028128682352729633,0.5004260269272898
1.0,0.2782559402207124,1.0,0.953503616660947,-0.00016814378568004337,1.1292456960555979
1.0,0.4641588833612779,1.0,0.8839766739465442,-0.00012046921919011817,1.8729647015377788
1.0,0.7742636826811271,1.0,0.8820396070509379,-0.0001513282451414827,2.852565288096474
1.0,1.2915496650148839,1.0,0.8723578500062251,-0.00012030705581066659,3.904757108558575
1.0,2.154434690031884,1.0,0.802035045131587,-0.22516394538609802,5.61165931516552
1.0,3.5938136638046276,1.0,0.797619173624027,-0.0023652254528846025,8.093071499482871
1.0,5.99484250318941,1.0,0.7213261345206217,-0.18361127859097567,12.838841797188538
1.0,10.0,1.0,0.4077694547923205,-0.7896114419562839,13.950714041288382
1.1,0.1,1.0,0.8875393008530057,-0.00012138939344718694,0.5032620821436711
1.1,0.16681005372000587,1.0,0.8990030130234842,-0.00012052160425797454,0.8122034406040556
1.1,0.2782559402207124,1.0,0.8640137347198029,-0.00010520194600859062,1.291882633179948
1.1,0.4641588833612779,1.0,0.8189304410647693,-7.854325990389296e-5,2.056814548054828
1.1,0.7742636826811271,1.0,0.8168329115988945,-7.194092903066398e-5,3.004385065541405
1.1,1.2915496650148839,1.0,0.7639420924037669,-0.006467225342859408,4.076617973956245
1.1,2.154434690031884,1.0,0.6976531881358391,-0.030443569229120962,5.455167224934681
1.1,3.5938136638046276,1.0,0.6280642836545647,-0.3167205314041954,8.21858047964384
1.1,5.99484250318941,1.0,0.5926281354789139,-0.17898846790048328,13.479101334690268
1.1,10.0,1.0,0.5662228342000257,-0.2834852185468881,21.977330426441657
1.25,0.1,1.0,0.9999999644301307,-0.00016922432118080823,0.49999736594911753
1.25,0.16681005372000587,1.0,0.9109341706184138,-0.00012090591874273863,0.8282340444153422
1.25,0.2782559402207124,1.0,0.9010819996999454,-0.00012022237615353756,1.312238299005062
1.25,0.4641588833612779,1.0,0.7932781628347885,-0.003355964511689056,2.0965567386124944
